OBJECTID,casenumber,LOC_ERROR,lon,lat,POINT_M,year
382,8143542,NO ERROR,-86.80,36.15,16.53,8/1/2003
383,7989491,ROUTE NOT FOUND,0.00,0.00,0.00,5/15/2004
384,8408215,NO ERROR,-86.23,35.38,1.94,10/29/2003
385,8106923,ROUTE NOT FOUND,0.00,0.00,0.00,5/6/2004
386,8108552,ROUTE NOT FOUND,0.00,0.00,0.00,9/22/2003
387,7920278,ROUTE NOT FOUND,0.00,0.00,0.00,1/4/2004
388,8512555,NO ERROR,-89.93,35.08,5.75,5/30/2003
389,7511118,ROUTE NOT FOUND,0.00,0.00,0.00,3/14/2003
390,8320861,ROUTE NOT FOUND,0.00,0.00,0.00,8/31/2003
391,7445077,ROUTE NOT FOUND,0.00,0.00,0.00,3/25/2003
392,8851582,NO ERROR,-89.04,36.48,24.90,6/6/2003
393,8615792,ROUTE NOT FOUND,0.00,0.00,0.00,8/4/2003
394,8111897,ROUTE NOT FOUND,0.00,0.00,0.00,5/25/2003
395,7924819,ROUTE NOT FOUND,0.00,0.00,0.00,5/23/2004
396,8516367,NO ERROR,-86.80,36.15,8.47,10/27/2003
397,7570151,ROUTE NOT FOUND,0.00,0.00,0.00,7/12/2003
398,8330672,ROUTE NOT FOUND,0.00,0.00,0.00,10/3/2003
399,7462349,ROUTE NOT FOUND,0.00,0.00,0.00,7/13/2003
400,7288273,ROUTE NOT FOUND,0.00,0.00,0.00,7/10/2004
401,8672055,ROUTE NOT FOUND,0.00,0.00,0.00,6/5/2003
402,8225637,NO ERROR,-82.56,36.55,9.69,6/2/2003
403,8220829,NO ERROR,-86.77,36.11,5.34,10/24/2003
404,7882222,NO ERROR,-86.22,35.37,3.18,7/8/2003
405,8141034,NO ERROR,-84.59,35.47,2.35,7/21/2003
406,7981470,ROUTE NOT FOUND,0.00,0.00,0.00,12/10/2004
407,8387979,NO ERROR,-87.51,35.04,6.45,10/14/2003
408,8095995,ROUTE NOT FOUND,0.00,0.00,0.00,7/26/2004
409,7241260,ROUTE NOT FOUND,0.00,0.00,0.00,8/30/2003
410,8099843,ROUTE NOT FOUND,0.00,0.00,0.00,12/17/2003
411,7918402,NO ERROR,-90.06,35.05,5.25,6/2/2004
412,8734127,ROUTE NOT FOUND,0.00,0.00,0.00,6/3/2003
413,8510463,ROUTE NOT FOUND,0.00,0.00,0.00,5/26/2003
414,8310752,ROUTE NOT FOUND,0.00,0.00,0.00,2/21/2003
415,7361853,ROUTE NOT FOUND,0.00,0.00,0.00,2/5/2003
416,8790910,ROUTE NOT FOUND,0.00,0.00,0.00,5/17/2003
417,8611393,ROUTE NOT FOUND,0.00,0.00,0.00,6/28/2003
418,8203638,ROUTE NOT FOUND,0.00,0.00,0.00,8/9/2003
419,7798639,NO ERROR,-87.25,36.52,16.25,6/5/2003
420,7963454,NO ERROR,-90.03,35.04,2.81,1/15/2004
421,8211461,ROUTE NOT FOUND,0.00,0.00,0.00,3/7/2003
422,7868854,ROUTE NOT FOUND,0.00,0.00,0.00,7/27/2003
423,7978618,ROUTE NOT FOUND,0.00,0.00,0.00,4/4/2004
424,8359979,ROUTE NOT FOUND,0.00,0.00,0.00,11/8/2003
425,8071575,NO ERROR,-86.42,35.85,10.25,8/7/2004
426,8096682,ROUTE NOT FOUND,0.00,0.00,0.00,5/20/2003
427,7775461,ROUTE NOT FOUND,0.00,0.00,0.00,5/16/2004
428,8720534,NO ERROR,-89.80,35.15,7.32,2/6/2003
429,8506434,ROUTE NOT FOUND,0.00,0.00,0.00,4/11/2003
430,7309323,NO ERROR,-84.83,35.72,24.71,8/27/2003
431,8293161,NO ERROR,-89.89,35.21,3.04,10/23/2003
432,8765794,ROUTE NOT FOUND,0.00,0.00,0.00,9/21/2003
433,8197271,ROUTE NOT FOUND,0.00,0.00,0.00,7/18/2003
434,8036072,NO ERROR,-82.19,36.58,15.70,4/6/2004
435,7767587,ROUTE NOT FOUND,0.00,0.00,0.00,3/22/2003
436,8450021,ROUTE NOT FOUND,0.00,0.00,0.00,6/2/2003
437,7952478,ROUTE NOT FOUND,0.00,0.00,0.00,3/1/2004
438,8539569,ROUTE NOT FOUND,0.00,0.00,0.00,9/10/2003
439,7661144,ROUTE NOT FOUND,0.00,0.00,0.00,3/16/2003
440,7588165,ROUTE NOT FOUND,0.00,0.00,0.00,5/26/2004
441,8060263,ROUTE NOT FOUND,0.00,0.00,0.00,12/4/2003
442,7679439,NO ERROR,-85.01,35.09,24.09,4/1/2004
443,8701480,NO ERROR,-85.29,34.99,7.34,12/3/2003
444,8453780,ROUTE NOT FOUND,0.00,0.00,0.00,8/27/2003
445,8252786,ROUTE NOT FOUND,0.00,0.00,0.00,11/5/2003
446,9645212,ROUTE NOT FOUND,0.00,0.00,0.00,1/28/2005
447,8140275,ROUTE NOT FOUND,0.00,0.00,0.00,6/25/2005
448,9639928,ROUTE NOT FOUND,0.00,0.00,0.00,11/19/2004
449,8244041,NO ERROR,-82.37,36.33,17.71,6/28/2004
450,8824451,ROUTE NOT FOUND,0.00,0.00,0.00,6/11/2004
451,8625970,ROUTE NOT FOUND,0.00,0.00,0.00,9/8/2005
452,8684778,ROUTE NOT FOUND,0.00,0.00,0.00,4/26/2004
453,8545349,ROUTE NOT FOUND,0.00,0.00,0.00,6/4/2004
454,8500377,ROUTE NOT FOUND,0.00,0.00,0.00,9/7/2004
455,9835221,ROUTE NOT FOUND,0.00,0.00,0.00,8/3/2005
456,8843263,NO ERROR,-86.79,36.16,17.07,7/21/2004
457,8392773,NO ERROR,-86.62,36.30,3.03,8/21/2004
458,9132329,NO ERROR,-86.80,36.15,16.47,8/18/2005
459,8904438,ROUTE NOT FOUND,0.00,0.00,0.00,9/19/2005
460,9728628,ROUTE NOT FOUND,0.00,0.00,0.00,3/6/2005
461,50008377,ROUTE NOT FOUND,0.00,0.00,0.00,12/26/2005
462,8938077,NO ERROR,-83.91,35.94,8.05,11/18/2005
463,8467720,ROUTE NOT FOUND,0.00,0.00,0.00,4/12/2005
464,8238486,ROUTE NOT FOUND,0.00,0.00,0.00,6/4/2004
465,8841461,ROUTE NOT FOUND,0.00,0.00,0.00,8/4/2004
466,8838412,ROUTE NOT FOUND,0.00,0.00,0.00,4/19/2005
467,8580607,NO ERROR,-82.36,36.32,1.10,7/28/2004
468,9610367,ROUTE NOT FOUND,0.00,0.00,0.00,8/7/2005
469,7940085,NO ERROR,-86.74,35.91,3.30,9/5/2005
470,7438920,ROUTE NOT FOUND,0.00,0.00,0.00,6/10/2005
471,9593651,ROUTE NOT FOUND,0.00,0.00,0.00,11/6/2004
472,8810655,ROUTE NOT FOUND,0.00,0.00,0.00,7/18/2004
473,8521968,ROUTE NOT FOUND,0.00,0.00,0.00,4/23/2005
474,8658389,NO ERROR,-84.83,35.15,3.67,11/3/2004
475,9577265,ROUTE NOT FOUND,0.00,0.00,0.00,5/30/2005
476,8494309,ROUTE NOT FOUND,0.00,0.00,0.00,12/8/2004
477,9807611,ROUTE NOT FOUND,0.00,0.00,0.00,4/27/2005
478,8328789,ROUTE NOT FOUND,0.00,0.00,0.00,2/29/2004
479,9069606,NO ERROR,-86.84,36.20,4.41,10/20/2005
480,8296664,ROUTE NOT FOUND,0.00,0.00,0.00,9/29/2004
481,8895778,ROUTE NOT FOUND,0.00,0.00,0.00,9/7/2005
482,9701129,NO ERROR,-90.03,35.20,16.27,6/27/2005
483,9828690,ROUTE NOT FOUND,0.00,0.00,0.00,3/15/2005
484,8360807,NO ERROR,-89.93,35.19,19.84,7/17/2004
485,9101643,NO ERROR,-86.81,36.14,15.48,5/26/2005
486,8303846,ROUTE NOT FOUND,0.00,0.00,0.00,5/7/2004
487,8898601,ROUTE NOT FOUND,0.00,0.00,0.00,5/28/2005
488,9707975,NO ERROR,-88.76,35.52,4.30,4/29/2005
489,8936052,ROUTE NOT FOUND,0.00,0.00,0.00,4/17/2005
490,8426492,ROUTE NOT FOUND,0.00,0.00,0.00,6/23/2005
491,8234137,ROUTE NOT FOUND,0.00,0.00,0.00,7/23/2004
492,8838306,ROUTE NOT FOUND,0.00,0.00,0.00,6/2/2004
493,8778304,ROUTE NOT FOUND,0.00,0.00,0.00,8/23/2005
494,8564286,ROUTE NOT FOUND,0.00,0.00,0.00,3/28/2004
495,7718868,ROUTE NOT FOUND,0.00,0.00,0.00,10/28/2005
496,8491032,NO ERROR,-84.10,36.23,0.45,9/8/2004
497,9764627,ROUTE NOT FOUND,0.00,0.00,0.00,11/21/2004
498,9580184,ROUTE NOT FOUND,0.00,0.00,0.00,10/3/2004
499,8649016,NO ERROR,-85.31,35.03,7.41,10/12/2004
500,9293465,NO ERROR,-86.80,36.15,16.50,11/15/2005
501,8481063,ROUTE NOT FOUND,0.00,0.00,0.00,8/26/2004
502,9753884,ROUTE NOT FOUND,0.00,0.00,0.00,8/20/2005
503,9060196,ROUTE NOT FOUND,0.00,0.00,0.00,10/20/2005
504,8267412,NO ERROR,-90.01,35.16,13.84,2/10/2004
