OBJECTID,casenumber,LOC_ERROR,lon,lat,POINT_M,year
263,7961402,ROUTE NOT FOUND,0.00,0.00,0.00,9/2/2003
264,7846854,ROUTE NOT FOUND,0.00,0.00,0.00,3/21/2003
265,7616197,ROUTE NOT FOUND,0.00,0.00,0.00,2/22/2003
266,8113166,ROUTE NOT FOUND,0.00,0.00,0.00,9/20/2003
267,8199683,NO ERROR,-85.24,35.07,7.07,6/3/2003
268,7955478,ROUTE NOT FOUND,0.00,0.00,0.00,10/31/2003
269,7499108,NO ERROR,-90.03,35.03,2.62,2/5/2003
270,8102958,NO ERROR,-86.88,36.51,10.78,10/23/2003
271,8147850,NO ERROR,-86.90,36.05,0.80,8/21/2003
272,8029769,ROUTE NOT FOUND,0.00,0.00,0.00,10/18/2003
273,8012200,NO ERROR,-90.02,35.14,9.81,2/28/2003
274,7440269,ROUTE NOT FOUND,0.00,0.00,0.00,2/5/2003
275,7516905,ROUTE NOT FOUND,0.00,0.00,0.00,1/5/2003
276,7680876,ROUTE NOT FOUND,0.00,0.00,0.00,2/14/2003
277,7801850,NO ERROR,-88.40,35.65,12.28,7/1/2003
278,7564392,ROUTE NOT FOUND,0.00,0.00,0.00,5/16/2003
279,8109223,ROUTE NOT FOUND,0.00,0.00,0.00,10/14/2003
280,8194230,ROUTE NOT FOUND,0.00,0.00,0.00,3/6/2003
281,8091966,ROUTE NOT FOUND,0.00,0.00,0.00,7/5/2003
282,7892663,ROUTE NOT FOUND,0.00,0.00,0.00,1/16/2003
283,7496726,ROUTE NOT FOUND,0.00,0.00,0.00,5/24/2003
284,8099083,ROUTE NOT FOUND,0.00,0.00,0.00,8/12/2003
285,8143455,ROUTE NOT FOUND,0.00,0.00,0.00,1/16/2003
286,8111237,ROUTE NOT FOUND,0.00,0.00,0.00,8/26/2003
287,8195758,ROUTE NOT FOUND,0.00,0.00,0.00,3/13/2003
288,8092642,ROUTE NOT FOUND,0.00,0.00,0.00,7/9/2003
289,7923834,ROUTE NOT FOUND,0.00,0.00,0.00,12/16/2003
290,7497583,ROUTE NOT FOUND,0.00,0.00,0.00,2/1/2003
291,8101759,ROUTE NOT FOUND,0.00,0.00,0.00,8/7/2003
292,8146360,ROUTE NOT FOUND,0.00,0.00,0.00,4/22/2003
293,8021279,ROUTE NOT FOUND,0.00,0.00,0.00,2/3/2003
294,7758235,ROUTE NOT FOUND,0.00,0.00,0.00,3/1/2003
295,8010930,ROUTE NOT FOUND,0.00,0.00,0.00,4/13/2003
296,7257580,NO ERROR,-86.20,35.56,5.88,12/8/2003
297,7513233,ROUTE NOT FOUND,0.00,0.00,0.00,3/17/2003
298,7671447,ROUTE NOT FOUND,0.00,0.00,0.00,7/13/2003
299,7794848,ROUTE NOT FOUND,0.00,0.00,0.00,4/22/2003
300,7959336,ROUTE NOT FOUND,0.00,0.00,0.00,8/21/2003
301,7553636,ROUTE NOT FOUND,0.00,0.00,0.00,3/24/2003
302,8107676,NO ERROR,-86.81,36.11,5.26,6/6/2003
303,8191564,ROUTE NOT FOUND,0.00,0.00,0.00,8/29/2003
304,8090084,NO ERROR,-90.03,35.16,3.78,10/22/2003
305,7492567,ROUTE NOT FOUND,0.00,0.00,0.00,7/28/2003
306,8097856,NO ERROR,-89.91,35.15,10.94,6/17/2003
307,8140508,ROUTE NOT FOUND,0.00,0.00,0.00,1/11/2003
308,7721656,ROUTE NOT FOUND,0.00,0.00,0.00,6/11/2003
309,7980029,ROUTE NOT FOUND,0.00,0.00,0.00,12/8/2003
310,7881371,ROUTE NOT FOUND,0.00,0.00,0.00,6/30/2003
311,7286538,NO ERROR,-83.98,35.78,1.23,4/11/2003
312,7505611,ROUTE NOT FOUND,0.00,0.00,0.00,5/3/2003
313,8114801,NO ERROR,-83.93,36.02,10.97,9/7/2003
314,7737797,ROUTE NOT FOUND,0.00,0.00,0.00,3/14/2003
315,7997209,ROUTE NOT FOUND,0.00,0.00,0.00,9/16/2003
316,7507643,NO ERROR,-89.99,35.13,1.67,8/23/2003
317,7782832,ROUTE NOT FOUND,0.00,0.00,0.00,6/24/2003
318,7958815,NO ERROR,-90.00,35.16,14.48,1/16/2003
319,7543264,NO ERROR,-85.02,35.50,8.22,8/3/2003
320,8105177,ROUTE NOT FOUND,0.00,0.00,0.00,10/30/2003
321,8152055,NO ERROR,-86.40,35.82,11.53,11/28/2003
322,8071410,NO ERROR,-86.39,35.84,12.95,12/29/2003
323,7471184,NO ERROR,-89.53,35.34,7.79,4/9/2003
324,8096100,NO ERROR,-87.42,36.59,20.33,12/3/2003
325,8132481,ROUTE NOT FOUND,0.00,0.00,0.00,10/31/2003
326,7524823,NO ERROR,-90.03,35.04,2.81,9/13/2003
327,8121935,ROUTE NOT FOUND,0.00,0.00,0.00,3/28/2003
328,7709119,ROUTE NOT FOUND,0.00,0.00,0.00,9/17/2003
329,7963180,ROUTE NOT FOUND,0.00,0.00,0.00,9/30/2003
330,7860446,ROUTE NOT FOUND,0.00,0.00,0.00,5/21/2003
331,7287016,ROUTE NOT FOUND,0.00,0.00,0.00,2/2/2003
332,7635472,NO ERROR,-90.03,35.08,5.26,4/4/2003
333,7503011,ROUTE NOT FOUND,0.00,0.00,0.00,3/16/2003
334,8113307,ROUTE NOT FOUND,0.00,0.00,0.00,7/3/2003
335,7956237,NO ERROR,-90.05,35.15,12.17,8/11/2003
336,8103318,NO ERROR,-86.75,36.12,9.97,10/20/2003
337,8148660,ROUTE NOT FOUND,0.00,0.00,0.00,3/4/2003
338,8032735,NO ERROR,-88.83,35.68,17.09,12/27/2003
339,7764869,NO ERROR,-83.31,36.31,17.27,9/30/2003
340,7958337,ROUTE NOT FOUND,0.00,0.00,0.00,9/26/2003
341,7528704,NO ERROR,-90.06,35.12,0.29,5/29/2003
342,8104834,NO ERROR,-86.77,36.21,15.28,9/15/2003
343,8149951,NO ERROR,-86.64,36.07,28.06,3/1/2003
344,8059676,NO ERROR,-90.06,35.13,0.76,11/25/2003
345,7457313,ROUTE NOT FOUND,0.00,0.00,0.00,2/15/2003
346,8094226,ROUTE NOT FOUND,0.00,0.00,0.00,7/22/2003
347,8129479,NO ERROR,-90.03,35.01,1.30,3/18/2003
348,7522573,ROUTE NOT FOUND,0.00,0.00,0.00,1/23/2003
349,8117649,ROUTE NOT FOUND,0.00,0.00,0.00,10/1/2003
350,7702378,ROUTE NOT FOUND,0.00,0.00,0.00,4/12/2003
351,7960821,NO ERROR,-89.90,35.19,1.22,11/23/2003
352,7841692,NO ERROR,-85.31,35.05,8.97,10/6/2003
353,7599797,ROUTE NOT FOUND,0.00,0.00,0.00,2/12/2003
354,8112478,ROUTE NOT FOUND,0.00,0.00,0.00,12/23/2003
355,8198931,NO ERROR,-85.25,35.02,12.47,7/10/2003
356,7925233,NO ERROR,-89.93,35.07,5.49,12/18/2003
357,7498066,NO ERROR,-89.94,35.17,18.29,7/25/2003
358,8102203,NO ERROR,-86.71,36.26,18.26,7/10/2003
359,8146973,ROUTE NOT FOUND,0.00,0.00,0.00,5/30/2003
360,8026373,ROUTE NOT FOUND,0.00,0.00,0.00,6/12/2003
361,8012092,ROUTE NOT FOUND,0.00,0.00,0.00,8/16/2003
362,7288450,ROUTE NOT FOUND,0.00,0.00,0.00,3/13/2003
363,7515393,ROUTE NOT FOUND,0.00,0.00,0.00,6/17/2003
364,7680660,ROUTE NOT FOUND,0.00,0.00,0.00,4/30/2003
365,8015116,ROUTE NOT FOUND,0.00,0.00,0.00,1/31/2003
366,7444880,NO ERROR,-84.46,35.61,3.64,12/23/2003
367,8123147,ROUTE NOT FOUND,0.00,0.00,0.00,6/26/2003
368,7288537,NO ERROR,-82.16,36.29,8.18,9/1/2003
369,7518980,ROUTE NOT FOUND,0.00,0.00,0.00,7/27/2003
370,8116032,NO ERROR,-83.91,35.95,6.44,9/6/2003
371,7686288,NO ERROR,-85.35,35.02,3.86,11/16/2003
372,7960559,NO ERROR,-90.02,35.11,7.80,12/9/2003
373,7811466,NO ERROR,-84.79,35.14,5.90,6/27/2003
374,7571000,NO ERROR,-88.97,35.63,5.99,9/4/2003
375,8110711,ROUTE NOT FOUND,0.00,0.00,0.00,8/2/2003
376,8195479,NO ERROR,-86.76,36.14,11.61,4/11/2003
377,8092366,NO ERROR,-89.98,35.16,15.45,6/10/2003
378,7908112,NO ERROR,-87.04,35.59,11.57,11/23/2003
379,7497535,NO ERROR,-89.89,35.11,6.78,5/16/2003
380,8101591,ROUTE NOT FOUND,0.00,0.00,0.00,10/10/2003
381,8145685,ROUTE NOT FOUND,0.00,0.00,0.00,12/3/2003
382,8020757,NO ERROR,-86.93,36.13,7.10,5/3/2003
383,7749595,NO ERROR,-84.71,35.90,35.49,2/9/2003
384,8006534,ROUTE NOT FOUND,0.00,0.00,0.00,3/1/2003
385,7298071,NO ERROR,-88.70,35.39,12.22,1/1/2003
386,7511673,ROUTE NOT FOUND,0.00,0.00,0.00,10/8/2003
387,7661216,ROUTE NOT FOUND,0.00,0.00,0.00,4/25/2003
388,7791027,ROUTE NOT FOUND,0.00,0.00,0.00,4/16/2003
389,7958976,ROUTE NOT FOUND,0.00,0.00,0.00,8/17/2003
